neighbourhood,price
Allerton,87.5952380952381
Arden Heights,67.25
Arrochar,115.0
Arverne,171.7792207792208
Astoria,117.18777777777778
Bath Beach,81.76470588235294
Battery Park City,367.0869565217391
Bay Ridge,144.43262411347519
Bay Terrace,142.0
"Bay Terrace, Staten Island",102.5
Baychester,75.42857142857143
Bayside,157.94871794871796
Bayswater,87.47058823529412
Bedford-Stuyvesant,107.68839213573929
Belle Harbor,171.5
Bellerose,99.35714285714286
Belmont,77.125
Bensonhurst,75.78666666666666
Bergen Beach,106.7
Boerum Hill,176.135593220339
Borough Park,63.06617647058823
Breezy Point,213.33333333333334
Briarwood,105.875
Brighton Beach,131.93333333333334
Bronxdale,57.10526315789474
Brooklyn Heights,209.06493506493507
Brownsville,76.9
Bull's Head,47.333333333333336
Bushwick,84.81559707554834
Cambria Heights,81.73076923076923
Canarsie,104.36734693877551
Carroll Gardens,175.91416309012877
Castle Hill,63.0
Castleton Corners,139.75
Chelsea,249.76528776978418
Chinatown,161.75476839237058
City Island,173.0
Civic Center,191.94230769230768
Claremont Village,87.46428571428571
Clason Point,112.76190476190476
Clifton,84.93333333333334
Clinton Hill,181.89335664335664
Co-op City,77.5
Cobble Hill,211.92929292929293
College Point,88.0
Columbia St,162.95238095238096
Concord,58.19230769230769
Concourse,86.18
Concourse Village,73.78125
Coney Island,123.70588235294117
Corona,59.171875
Crown Heights,112.52015355086372
Cypress Hills,128.9037037037037
DUMBO,196.30555555555554
Ditmars Steinway,95.19155844155844
Dongan Hills,79.42857142857143
Douglaston,82.75
Downtown Brooklyn,150.34939759036143
Dyker Heights,93.41666666666667
East Elmhurst,81.18378378378378
East Flatbush,104.26907630522088
East Harlem,133.19354838709677
East Morrisania,85.0
East New York,85.42660550458716
East Village,186.0755939524838
Eastchester,141.69230769230768
Edenwald,82.0
Edgemere,94.72727272727273
Elmhurst,80.45991561181435
Eltingville,141.66666666666666
Emerson Hill,68.2
Far Rockaway,165.86206896551724
Fieldston,75.08333333333333
Financial District,225.49059139784947
Flatbush,92.26009693053312
Flatiron District,341.925
Flatlands,126.43373493975903
Flushing,93.51408450704226
Fordham,68.46774193548387
Forest Hills,121.625
Fort Greene,151.37423312883436
Fort Hamilton,93.81818181818181
Fort Wadsworth,800.0
Fresh Meadows,99.5
Glendale,90.79629629629629
Gowanus,158.80161943319837
Gramercy,222.75443786982248
Graniteville,68.66666666666667
Grant City,57.666666666666664
Gravesend,79.01470588235294
Great Kills,100.6
Greenpoint,144.85804132973945
Greenwich Village,263.50383631713555
Grymes Hill,159.14285714285714
Harlem,118.95254237288135
Hell's Kitchen,204.93193449334697
Highbridge,70.96153846153847
Hollis,88.64285714285714
Holliswood,135.75
Howard Beach,115.4
Howland Hook,100.0
Huguenot,118.33333333333333
Hunts Point,50.5
Inwood,88.89682539682539
Jackson Heights,80.89784946236558
Jamaica,95.77056277056278
Jamaica Estates,182.94736842105263
Jamaica Hills,132.125
Kensington,92.88571428571429
Kew Gardens,88.375
Kew Gardens Hills,112.3076923076923
